#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
777,N21 Dra C,,,,,,685,3306,4017,86087,226-066,,,,17 35 34.5,+61 40 53.6,0.07092,0.00106,14.1,0.578,152.8,0.0371,-0.51414,,11.44,9.97,9.03,8.01,,,,9.22,,M1 Ve,,1734+6152 C
778,N12 Aql,,,,,,726,,4334.01,92200,021-024,BD-03 4380,173818,,18 47 27.3,-03 38 23.4,0.07095,0.00125,14.09,0.304,205.9,-0.0089,-0.27346,,10.09,8.81,8.01,7.31,6.384,5.744,5.581,8.06,17.7,K5 V,,1847-0338
779,N22 Her,Ross 863,,,,,655,5324,3889,83762,170-017,,,,17 07 07.5,+21 33 14.4,0.07091,0.00209,14.1,0.467,266.4,-0.0334,-0.02936,14.47,13.17,11.62,10.57,9.21,7.875,7.289,7.042,10.87,,M3,,1707+2133
780,N3 UMi,,,,,,1220,3297,4059.02,,259-015,,,,17 31 07.0,+82 05 53.3,0.0709,0.0034,14.1,0.566,330,,,,15.95,14.13,12.83,11.11,9.57,9.02,8.73,13.38,,,,1731+8205
781,N7 Lyr,,,,,V492,4073,3406,4321.01,,,,,,18 43 21.6,+40 40 54.1,0.0707,0.0008,14.14,0.619,349,,,,19.2,18.23,16.6,13.8,11.313,10.688,10.308,17.47,,,,1843+4040
782,N6 Sco,,,,,,2130 A,,,86961,,CD-32 13297,,,17 46 12.6,-32 06 12.8,0.07069,0.00162,14.15,0.2778,196.2,-0.0039,-0.31982,,,10.49,,,,,,9.74,,M2 V,SB in Del99b; New RECONS parallax (weighted mean for system),1746-3206 A
783,N6 Sco B,,,,,,2130 B,,,86963,,CD-32 13298,,,17 46 14.4,-32 06 08.4,0.07069,0.00162,14.15,0.2774,196.4,-0.0061,-0.27012,,,11.75,,,,,,11,,M2 VJ,New RECONS parallax (weighted mean for system),1746-3206 B
784,N6 Sco C,,,,,,,,,,,,,,17 46 14.4,-32 06 08.4,0.07069,0.00162,14.15,0.2774,196.4,-0.0061,-0.27012,,,12.75,,,,,,12,,,spectroscopic companion,1746-3206 C
785,N6 Mon,,,,147 G.,V869,282 A,,1809.00 A,37349,112-037,BD-03 2001,61606,,07 39 59.3,-03 35 51.0,0.07059,0.00092,14.17,0.287,165.9,0.0047,-0.27794,,8.14,7.18,6.64,6.17,,,,6.42,,K2 Ve,,0739-0335 A
786,N6 Mon B,,,,,,282 B,,1809.00 B,,112-038,BD-03 2002,,,07 39 59.3,-03 35 51.0,0.07059,0.00092,14.17,0.287,165.9,0.0047,-0.27794,,10.28,8.93,8.09,7.34,,,,8.17,,K5,,0739-0335 B
787,N14 Leo,Ross 93,,,,,3564,2181,,47741,049-023,,,,09 43 55.6,+26 58 08.4,0.07059,0.00397,14.17,0.59,260.2,-0.0435,-0.09999,,13.6,12.05,10.91,9.47,8.035,7.461,7.19,11.29,,,,0943+2658
788,N23 Vir,,,,,,529,363,3154,67487,,BD-21 3781,120467,,13 49 44.8,-22 06 39.9,0.07057,0.001,14.17,1.817,254.2,-0.1258,-0.49456,,9.44,8.17,7.42,6.78,,,,7.41,-35.3,K4/5 V,,1349-2206
789,N7 For,Fornacis,Alp,12 Eri,72 G.,,127 A,1515,664.00 A,14879,,CD-29 1177,20010,963,03 12 04.5,-28 59 15.4,0.07043,0.00089,14.2,0.716,31.2,0.0283,0.61226,,4.37 J,3.86 J,3.54 J,3.23 J,,,,3.1,,,,0312-2859 A
790,N7 For B,,,,,,127 B,,664.00 B,,,,,,03 12 04.5,-28 59 15.4,0.07043,0.00089,14.2,0.716,31.2,0.0283,0.61226,,,,,,,,,,,G7 V,,0312-2859 B
791,N8 Aur,,,,,,3388,,,,192-022,,,,06 14 04.5,+51 40 22.6,0.0704,0.01,14.2,0.371,256,,,,14.5,12.86,12.1,10,8.86,8.36,8.122,12.09,,,,0614+5140
792,N6 Sgr,,,,242 G.,V4200,770 A,,4686.00 A,97944,,CD-24 15668,188088,7578,19 54 17.7,-23 56 27.9,0.07036,0.00081,14.21,0.428,196.7,-0.0089,-0.40986,,7.17 J,6.16 J,5.60 J,5.15 J,,,,5.4,,K3/4 V,SB 46.82 days; BY Dra variable primary,1954-2356 A
793,N6 Sgr B,,,,,,770 B,,,,,,,,19 54 17.7,-23 56 27.9,0.07036,0.00081,14.21,0.428,196.7,-0.0089,-0.40986,,,,,,,,,,,,BY Dra variable secondary; spectroscopic companion,1954-2356 B
794,N24 Vir,,,,,,3693,2471,2750.01,,,,,,11 53 54.3,+06 59 05.7,0.0703,0.0026,14.22,0.955,160,,,,19.61,17.97,17.7,13.69,11.256,10.66,10.262,17.2,,,,1153+0659
795,N8 Ser,Ross 513,,,,,589 A,399,3520.00 A,,137-026,,,,15 35 18.4,+17 42 45.8,0.0703,0.0021,14.22,1.219,263,,,,13.95,12.37,11.32,9.99,,,,11.6,,,,1535+1742 A
796,N8 Ser B,,,,,,589 B,400,3520.00 B,,137-025,,,,15 35 18.4,+17 42 45.8,0.0703,0.0021,14.22,1.219,263,,,,16.81,14.97,13.61,11.85,,,,14.2,,,,1535+1742 B
797,N18 Cet,LP 709-43,,,,,,,442.03,,,,,,02 10 05.8,-08 53 02.2,0.0702,0.0163,14.25,0.415,235,,,,,13.05,11.91,10.4,8.946,8.337,8.083,12.28,,,,0210-0853
798,N8 For,,,,,,,1377,,10617,,CD-31 909,,,02 16 41.2,-30 59 18.2,0.07016,0.00288,14.25,0.728,69.8,0.0531,0.25149,,,,,,,,,,,,,0216-3059 A
799,N8 For B,,,,,,,1376,,,,,,,02 16 41.2,-30 59 18.2,0.07016,0.00288,14.25,,,,,,,,,,,,,,,,,0216-3059 B
800,N19 Cet,,,,,,3113,6033,372.03,,271-149,,,,01 46 36.9,-08 39 15.7,0.0701,0.0142,14.27,0.442,113,,,,14.57,12.99,,,8.832,8.237,7.994,12.21,,,,0146-0839
801,N20 Cet,,,,,,3211,,672.01,,,,,,03 14 20.2,+00 39 22.9,0.0701,0.0248,14.27,,,,,,,10,11.06,,9.573,9.101,8.971,9.22,,,,0314+0039
802,N4 Tuc,,,,,,865,3839,5468,111766,,,,,22 38 29.8,-65 22 42.6,0.07008,0.00548,14.27,0.849,100.9,0.1333,-0.16026,,13.09,11.48,10.3,8.77,,,,10.71,,,,2238-6522 A
803,N4 Tuc B,TYC 9124-888-1,,,,,,,5468.1,,,,,,22 38 24.5,-65 22 51.7,0.07008,0.00548,14.27,,,,,,,,,,,,,,,,P assumed third component of NS 2238-6522; assumed true companion; mismatched parallax has,2238-6522 B
804,N11 Tau,Wolf 227,,,,,3253,1610,851.01,,006-039,,,,03 52 44.5,+17 00 53.9,0.07,0.0138,14.29,0.766,147,,,,15.55,13.79,12.42,10.65,8.93,8.38,8.05,13.02,,,,0352+1700
805,N5 Crt,,,,,,3655,2397a,2634.01,,,,,,11 21 47.8,-13 13 08.1,0.07,0.0021,14.29,0.468,264,,,,21.1,19.57,,14.95,11.928,11.233,10.735,18.8,,M8.0 V,,1121-1313
806,N32 UMa,,Pi1,3,,,311,,2047.1,42438,,BD+65 643,72905,3391,08 39 11.7,+65 01 15.3,0.06991,0.00064,14.3,0.092,342.5,-0.0044,0.0879,,6.225,5.645,,,4.348,4.282,4.173,4.86,-12,G1 V,,0839+6501
807,N12 Tau,,,,,,168.1,,,,,,,,04 22 09.9,+19 28 55.2,0.0699,0.0266,14.31,0.003,18,,,,16,15.04,,,,,,14.26,,,these two stars are close together in the sky but are not in the same system,0422+1928
808,N25 Vir,Ross 1047,,,,,3892,3030,3424.11,74190,066-066,,,,15 09 35.6,+03 10 00.5,0.06986,0.00254,14.31,0.771,308.8,-0.0401,0.48252,14.131,12.96,11.45,10.405,9.052,7.72,7.134,6.858,10.67,,,,1509+0310
809,N7 Mon,,,,,,,,,36985,112-029,BD-02 2198,,,07 36 07.1,-03 06 38.8,0.06985,0.00153,14.32,0.256,171.8,0.0024,-0.25345,,11.33,9.87,,,6.791,6.155,5.934,9.09,,,,0736-0306
810,N5 Com,,,,,,481,,2922.02,61901,059-033,BD+16 2404,110315,,12 41 06.5,+15 22 36.0,0.06981,0.00108,14.32,0.391,162.3,0.0082,-0.37248,,9.09,7.95,7.3,6.7,5.834,5.273,5.075,7.16,21.5,K4,,1241+1522
811,N20 Boo,Ross 130,,,,,552,373,3283,70865,135-056,BD+16 2658,,,14 29 29.7,+15 31 57.5,0.0698,0.002,14.33,1.673,321,-0.0729,1.30001,,12.15,10.68,9.68,8.47,7.229,6.605,6.393,9.9,19.1,M2.5,,1429+1531
812,N8 Cep,,Eta,3,,,807,3578,4966,102422,,BD+61 2050,198149,7957,20 45 17.4,+61 50 19.7,0.06976,0.00049,14.33,0.822,6,0.0122,0.81789,,4.35,3.41,2.8,2.4,1.914,1.504,1.393,2.62,-87.55,,,2045+6150
813,N1 CrB,,,,,,611 A,3152,3650.00 A,78775,,BD+39 2947,144579,,16 04 56.8,+39 09 23.5,0.06972,0.00056,14.34,0.574,275.3,-0.0491,0.05259,,,,,,,,,,,G8 V,,1604+3909 A
814,N1 CrB B,,,,,,611 B,3150,3649.01,,180-027,,,,16 04 56.8,+39 09 23.5,0.06972,0.00056,14.34,0.574,275.3,-0.0491,0.05259,,,14.23,13,11.38,,,,13.45,,M,,1604+3909 B
815,N2 Nor,,,,,,613,,3652,79190,,CD-56 6221,144628,,16 09 42.8,-56 26 42.6,0.06968,0.0009,14.35,0.361,337.9,-0.0164,0.33448,,7.97,7.11,6.63,6.19,5.546,5.102,4.981,6.33,37.9,K1/2 V,,1609-5626
816,N15 Hya,,,,,,334,,2175.01,44722,114-035,BD-08 2582,,,09 06 45.4,-08 48 24.6,0.06961,0.00167,14.37,0.374,304.2,-0.0208,0.2102,12.184,10.97,9.5,8.59,7.68,6.641,5.982,5.757,8.71,32.2,M0,"CNS91 ""SB?"" not confirmed/refuted",0906-0848
817,N18 Oph,Rasalhague,Alp,55,,,681,,4000,86032,,BD+12 3252,159561,6556,17 34 56.1,+12 33 36.2,0.06961,0.00086,14.37,0.248,153.7,0.0075,-0.22261,,2.23,2.1,2,1.9,1.833,1.718,1.683,1.31,12.6,,"SB in CNS91; additional astrometric companion?; CNS91 ""SB"" not confirmed/refuted",1734+1233
818,N7 Sco,,,,,,,,,81935,,CD-38 11173,150689,,16 44 15.0,-38 56 37.1,0.06958,0.00099,14.37,0.063,197.8,-0.0016,-0.05979,,8.54,7.52,,,5.68,5.189,5.043,6.73,-19.8,K2 V,,1644-3856
819,N23 Her,,w,72,,,672,441,3946,84862,,BD+32 2896,157214,6458,17 20 39.6,+32 28 03.9,0.06952,0.00056,14.38,1.049,172.6,0.0107,-1.04055,,6.01,5.4,5,4.7,4.16,3.9,3.91,4.61,-78.7,,,1720+3228
820,N21 Cet,,,,,,,1240,282.11 A,,070-055,,,,01 22 43.2,+00 31 07.3,0.0694,0.004,14.41,0.567,202,,,,,13.63,12.33,10.63,,,,12.84,,,,0122+0031 A
821,N21 Cet B,,,,,,,1241,282.11 B,,,,,,01 22 43.2,+00 31 07.3,0.0694,0.004,14.41,0.567,202,,,,,,,,,,,,,,,0122+0031 B
822,N11 And,,,,,,,,504.11 A,,134-035,,,,02 30 47.4,+40 28 43.8,0.0694,0.0103,14.41,0.231,87,,,,,13.64,12,10.5,,,,,,,,0230+4028 A
823,N11 And B,,,,,,,,504.11 B,,,,,,02 30 47.4,+40 28 42.8,0.0694,0.0103,14.41,0.226,90,,,,15.6,13.5,13.4,,,,,,,,,0230+4028 B
824,N6 Pav,,,,,,714,,4238,,,CPD-58 7400,,,18 30 12.5,-58 16 53.3,0.0693,0.015,14.43,0.39,180,,,,11.34,9.85,8.89,7.94,6.87,6.24,5.963,9.05,,,,1830-5816
825,N9 Aur,Ross 987,,,,,3438,,,35353,107-061,,,,07 18 08.2,+39 16 29.3,0.06921,0.00216,14.45,0.242,241.4,-0.0183,-0.11583,,12.11,10.39,9.5,8.7,7.209,6.588,6.369,9.59,,,,0718+3916
826,N22 Dra,,,,,CM,630.1 A,421,3775.03 A,,225-067,,,,16 34 07.3,+57 09 47.5,0.0692,0.0025,14.45,1.62,316,,,15.54,14.49,12.91,11.67,9.99,,,,12.11,,,eclipsing binary primary,1634+5709 A
827,N22 Dra B,,,,,,630.1 C,,,,,,,,16 34 07.3,+57 09 47.5,0.0692,0.0025,14.45,,,,,,,,,,,,,,,,eclipsing binary secondary,1634+5709 B
828,N22 Dra C,,,,,,630.1 B,422,3775.03 B,,225-068,,,,16 34 07.3,+57 09 47.5,0.0692,0.0025,14.45,1.62,316,,,,,,,,,,,,,WD,,1634+5709 C
829,N7 Per,Wolf 1323,,,,,116,159,588,13375,037-008,BD+33 529,,,02 52 07.1,+34 23 21.6,0.06908,0.00159,14.48,1.403,134.8,0.0804,-0.98888,,10.95,9.63,8.83,8.06,7.05,6.46,6.3,8.83,-45.7,M0,,0252+3423
830,N21 Boo,,,,,,546,2903,3262,70218,166-022,BD+30 2512,,,14 21 57.2,+29 37 46.6,0.06908,0.00105,14.48,0.702,244.1,-0.0484,-0.30715,,9.84,8.56,7.81,7.11,6.135,5.559,5.425,7.76,-36.8,K8 V,,1421+2937
831,N26 Vir,,,,,,521.1,2773,3121,66675,062-060,BD-03 3508,118926,,13 40 07.1,-04 11 10.0,0.069,0.00141,14.49,0.618,321.3,-0.0258,0.48223,,11.04,9.63,8.76,7.92,6.9,6.251,6.037,8.82,34,K5 V,,1340-0411
832,N8 Lib,,,,,,3866,378,,,,,,,14 47 25.37,-17 42 15.6,0.069,0.004,14.49,1.177,253,,,,17.42,16.46,,,14.948,14.64,14.724,15.65,,WD,,1447-1742
833,N19 Oph,Ross 136,,,,,712,464,4221,,141-004,,,,18 22 02.9,+06 19 57.3,0.0689,0.0022,14.51,1.158,273,,,15.08,14.12,12.59,11.47,10.01,8.67,8.13,7.93,11.78,,,,1822+0619
834,N6 Sex,,,,,RY,398,2285,2480,,044-027,,,,10 36 01.7,+05 07 05.6,0.0688,0.0063,14.53,0.642,278,,,14.95,14.21,12.6,11.43,9.91,8.46,7.88,7.6,11.79,21,,,1036+0507
835,N13 Tau,Wolf 1278,,,,,154,,808,17609,006-034,BD+25 613,23453,,03 46 20.1,+26 12 55.8,0.06873,0.00166,14.55,0.435,117.1,0.0288,-0.19816,,11.05,9.61,8.8,7.9,6.689,6.046,5.844,8.79,32.2,K7,,0346+2612
836,N8 Sco,,,,,V914,2123 A,,,82926,,CD-38 11343,,,16 56 48.6,-39 05 38.2,0.06871,0.00502,14.55,0.128,149,0.0057,-0.10938,,,,,,,,,,,,CNS79 companion not confirmed/refuted via 2 DSS,1656-3905 A
837,N8 Sco B,,,,,,2123 B,,,,,,,,16 56 48.6,-39 05 38.2,0.06871,0.00502,14.55,0.128,149,0.0057,-0.10938,,,,,,,,,,,,from HIP,1656-3905 B
838,N5 CMi,,,,,,1099,1928,1785.02,,112-027,,,,07 34 18.0,+00 58 27.0,0.0687,0.0026,14.56,0.628,176,,,,13.4,11.91,10.84,9.52,8.26,7.67,7.43,11.09,,,,0734+0058
839,N6 Com,,,,,,1171,355,3084.01,,149-094,,,,13 30 31.4,+19 08 02.6,0.0687,0.0044,14.56,1.397,200,,,,16.53,14.71,13.39,11.67,10.06,9.54,9.22,13.89,,,,1330+1908
840,N24 Her,,,,,,4026,3324,4059.01,,170-062,,,,17 46 05.8,+24 39 30.5,0.0687,0.0024,14.56,0.6,327,,,,14.24,12.68,11.57,10.15,8.81,8.31,8.06,11.86,,,,1746+2439
841,N22 Boo,Asellus Primus,The,23,,,549 A,,3274.00 A,70497,,BD+52 1804,126660,5404,14 25 11.8,+51 51 02.7,0.06863,0.00056,14.57,0.464,210.6,-0.0255,-0.39907,,,,,,,,,,,,C in CNS69 not in CNS91; additional components; CNS69 component C not in CNS91; not confirmed/re,1425+5151 A
842,N22 Boo B,,,,,,549 B,,3274.00 B,,,,,,14 25 11.8,+51 51 02.7,0.06863,0.00056,14.57,0.464,210.6,-0.0255,-0.39907,,,,,,,,,,,,,1425+5151 B
843,N4 Vul,Wolf 1346,,,,,794,3562,4895,101516,186-031,,340611,,20 34 21.9,+25 03 49.8,0.06861,0.00176,14.58,0.694,215.6,-0.0298,-0.56416,,11.46,11.53,11.6,11.8,12.039,12.072,12.186,10.71,71,WDA3,"CNS91 ""VAR"" not confirmed/refuted",2034+2503
844,N21 Aqr,,,,,,,3686,5197.02 A,,026-014,,,,21 33 50.1,+01 46 15.3,0.0686,0.0056,14.58,0.669,181,,,,15.07,13.36,12.14,10.55,,,,12.54,,,,2133+0146 A
845,N21 Aqr B,,,,,,,3688,5197.02 B,,,,,,21 33 50.1,+01 46 15.3,0.0686,0.0056,14.58,0.669,181,,,,,,,,,,,,,,,2133+0146 B
846,N7 Lep,,,,,,,,,28035,,,,,05 55 43.2,-26 51 23.4,0.06858,0.00194,14.58,0.315,91.9,0.0235,-0.01022,,11.75,10.7,,,7.175,6.475,6.288,9.88,,,,0555-2651
847,N3 Lup,,Nu2,,85 G.,,582,395,3462,75181,,CD-47 9919,136352,5699,15 21 48.2,-48 19 03.5,0.06858,0.00079,14.58,1.646,260.4,-0.1627,-0.2751,,6.3,5.65,5.29,4.94,4.308,3.898,4.159,4.83,-69.4,G3/5 V,,1521-4819
848,N14 Tau,,,111,,V1119,202,,1224.00 A,25278,,BD+17 920,35296,1780,05 24 25.5,+17 23 00.7,0.06856,0.00078,14.59,0.251,91.7,0.0175,-0.00742,,,,,,,,,,,,,0524+1723 A
849,N14 Tau B,,,,,,201,,1222,25220,085-068,BD+17 917,35171,,05 23 38.4,+17 19 26.9,0.06856,0.00078,14.59,0.253,91.1,0.0177,-0.00466,,,,,,,,,,,,,0524+1723 B
850,N7 Ari,,,,,,3181,1443,562.01,,,,,,02 46 31.3,+16 24 55.4,0.0685,0.0035,14.6,0.981,236,,,,18.88,16.93,15.8,13.2,10.97,10.52,10.19,16.1,,,,0246+1624
851,N7 Gem,Wolf 1421,,,,,289,238,1844,38082,091-011,,,,07 48 16.4,+20 22 05.2,0.06849,0.00174,14.6,1.757,124.3,0.1032,-0.98983,,12.99,11.45,10.47,9.33,,,,10.63,,M2,SB2 in Mar87,0748+2022 A
852,N7 Gem B,,,,,,,,,,,,,,07 48 16.4,+20 22 05.2,0.06849,0.00174,14.6,,,,,,,,,,,,,,,,spectroscopic companion,0748+2022 B
853,N2 CMa,,,,,,259,,1646.1,33817,,CD-25 3913,52698,,07 01 13.7,-25 56 55.3,0.06842,0.00072,14.62,0.211,78.8,0.0153,0.04089,,7.59,6.7,6.21,5.79,5.152,4.845,4.636,5.88,12.6,K1 V,,0701-2556
854,N15 Peg,,,,,GT,875.1,3861,5537,112909,128-008,,,,22 51 53.5,+31 45 15.2,0.06841,0.00201,14.62,0.529,95.5,0.0413,-0.05059,,13.08,11.62,10.51,9.11,7.697,7.129,6.874,10.8,0,M3.0,,2251+3145
855,N4 Ind,,,,,,2151,5363,5039.3,103910,,,,,21 03 14.0,-56 57 48.3,0.06839,0.00494,14.62,0.503,314.6,-0.0438,0.35322,,14.5,12.85,,,8.73,8.175,7.902,12.02,,,,2103-5657
856,N3 Ant,,,,,,,,,52190,,,,,10 39 44.4,-37 55 13.5,0.06838,0.00376,14.62,0.229,124.3,0.016,-0.12943,,,,,,,,,,,,,1039-3755 A
857,N3 Ant B,,,,,,,,,,,,,,10 39 44.4,-37 55 13.5,0.06838,0.00376,14.62,0.229,124.3,0.016,-0.12943,,,,,,,,,,,,from HIP; imaged companion in HIP,1039-3755 B
858,N33 UMa,Talitha,Iot,9,,,331 A,2084,2143.00 A,44127,,BD+48 1707,76644,3569,08 59 12.5,+48 02 30.6,0.06835,0.00079,14.63,0.491,244,-0.044,-0.21521,,,,,,,,,,,A7 IV,CNS91 mentions similar motion to NS 0900+4146,0859+4802 A
859,N33 UMa B,,,,,,331 D,,,,,,,,08 59 12.5,+48 02 30.6,0.06835,0.00079,14.63,0.491,244,-0.044,-0.21521,,,,,,,,,,,,,0859+4802 B
860,N33 UMa C,,,,,,331 B,2083,2143.00 B,,,,,,08 59 12.5,+48 02 30.6,0.06835,0.00079,14.63,0.491,244,-0.044,-0.21521,,,,,,,,,,,M1 J,,0859+4802 C
861,N33 UMa D,,,,,,331 C,,2143.00 C,,,,,,08 59 12.5,+48 02 30.6,0.06835,0.00079,14.63,0.491,244,-0.044,-0.21521,,,,,,,,,,,,,0859+4802 D
862,N23 Dra,,,,,,420 A,,2611.00 A,54952,254-018,BD+74 456,97584,,11 15 11.9,+73 28 30.8,0.06832,0.00117,14.64,0.419,285.5,-0.0947,0.11205,,,,,,,,,,,,,1115+7328 A
863,N23 Dra B,,,,,,420 B,,2611.00 C,,,,,,11 15 11.9,+73 28 30.8,0.06832,0.00117,14.64,0.419,285.5,-0.0947,0.11205,,,,,,,,,,,,,1115+7328 B
864,N34 UMa,,,,,CW,3647,,2604.01,,119-062,,,,11 11 55.7,+33 32 36.3,0.0683,0.0106,14.64,0.213,305,,,,14.02,12.38,11.2,9.7,8.297,7.758,7.497,11.55,,,,1111+3332
865,N6 Cap,,,,40 G.,,796,3570,4911,101997,,CD-24 16193,196761,7898,20 40 11.8,-23 46 26.0,0.06829,0.00082,14.64,0.681,47.4,0.0365,0.46076,,7.09,6.37,5.97,5.59,5.296,4.81,4.597,5.54,-45.3,G8/K0 V,,2040-2346
866,N7 Cap,,Psi,16,47 G.,,805,,4947,102485,,CD-25 15018,197692,7936,20 46 05.7,-25 16 15.3,0.06823,0.00091,14.66,0.165,198.2,-0.0038,-0.15666,,4.57,4.14,3.89,3.66,3.363,3.104,3.094,3.31,25.8,F5 V,,2046-2516
867,N8 Mon,Ross 417,,,,,231.3,1836,1470.1,,,,,,06 19 21.4,-06 39 33.9,0.0682,0.0089,14.66,0.669,187,,,,14.76,13.06,11.92,10.5,9.122,8.537,8.238,12.23,,,,0619-0639
868,N25 Eri,,,,,,3252,1604,845.02,,,,,,03 50 59.6,-00 53 10.4,0.0681,0.0018,14.68,0.526,176,,,,19.8,18.02,,,11.302,10.609,10.232,17.18,-2.9,,,0350-0053
869,N8 Gem,,,,,OU,233 A,,1489.00 A,30630,,BD+18 1214,45088,,06 26 10.3,+18 45 24.9,0.0681,0.00107,14.68,0.203,216,-0.0084,-0.16406,,,,,,,,,,,,BY Dra variable primary,0626+1845 A
870,N8 Gem B,,,,,,,,,,,,,,06 26 10.3,+18 45 24.9,0.0681,0.00107,14.68,,,,,,,,,,,,,,,,BY Dra variable secondary; spectroscopic companion,0626+1845 B
871,N8 Gem C,,,,,,233 B,,,,,,,,06 26 10.3,+18 45 24.9,0.0681,0.00107,14.68,0.203,216,-0.0084,-0.16406,,,,,,,,,,,,,0626+1845 C
872,N3 Nor,,,,,,604,,3602,78170,,CD-42 10934,142709,,15 57 40.8,-42 37 27.3,0.06808,0.00101,14.69,0.32,233.3,-0.0233,-0.19139,,9.18,8.06,7.39,6.83,6.032,5.452,5.284,7.23,35.6,K4 V,,1557-4237
873,N25 Her,,,,,,4029,3332,4074.11,,,,,,17 49 56.1,+22 40 55.7,0.0679,0.0056,14.73,0.78,259,,,,19,20.1,17.1,14.4,12.171,11.67,11.287,19.25,,,,1749+2240
874,N5 Ind,,,,,,833,,5198,106696,,CD-51 12998,205390,,21 36 41.2,-50 50 43.3,0.0679,0.00092,14.73,0.469,115.2,0.0448,-0.19927,,8.03,7.14,6.64,6.2,5.518,5.137,4.97,6.3,27,K2 V,,2136-5050
875,N6 Pup,,,,,,269 A,1911,1722.00 A,35296,,CD-46 3046,57095,,07 17 29.6,-46 58 45.3,0.0678,0.00086,14.75,0.585,358.2,-0.0018,0.58503,,7.69 J,6.70 J,6.14 J,5.65 J,,,,5.86,,K1 V,,0717-4658 A
876,N6 Pup B,,,,,,269 B,,1722.00 B,,,,,,07 17 29.6,-46 58 45.3,0.0678,0.00086,14.75,0.585,358.2,-0.0018,0.58503,,,,,,,,,,,K4 V,,0717-4658 B
877,N13 Cam,Ross 370,,,,,130.1 A,1522,669.00 A,15220,246-031,,,,03 16 13.8,+58 10 02.6,0.06775,0.00423,14.76,0.54,127,0.0545,-0.32495,,11.84,10.31,9.3,8.08,,,,9.46,,M1.5,,0316+5810 A
878,N13 Cam B,,,,,,130.1 B,1523,669.00 B,,,,,,03 16 13.8,+58 10 02.6,0.06775,0.00423,14.76,0.54,127,0.0545,-0.32495,,,,,,,,,,,M2,,0316+5810 B
879,N3 Crv,Alchiba,Alp,1,9 G.,,455.3,,2796,59199,,CD-24 10174,105452,4623,12 08 24.8,-24 43 43.9,0.06772,0.00075,14.77,0.108,111.4,0.0074,-0.03933,,4.34,4.02,3.82,3.62,3.525,3.364,3.307,3.17,4.4,,,1208-2443
880,N9 Ser,,Psi,23,20 G. Ser Cap,,596.1 A,,3556.00 A,77052,,BD+02 2989,140538,5853,15 44 01.8,+02 30 54.6,0.06772,0.00086,14.77,0.152,197.3,-0.003,-0.14473,,6.54 J,5.86 J,5.48 J,5.12 J,,,,5.01,,G3 V,"SB in CNS91; CNS91 ""SB"" refuted in Duq91",1544+0230 A
881,N9 Ser B,,,,,,596.1 B,,,,,,,,15 44 01.8,+02 30 54.6,0.06772,0.00086,14.77,0.152,197.3,-0.003,-0.14473,,,,,,,,,,,,,1544+0230 B
882,N6 CMi,Ross 880,,,,,281,,1803.01,37288,112-035,BD+02 1729,,,07 39 23.0,+02 11 01.1,0.06766,0.00142,14.78,0.288,211,-0.0099,0.24663,12.328,11.03,9.58,8.69,7.79,6.769,6.092,5.872,8.73,18.5,,,0739+0211
883,N12 And,,,,,,,,5688.01,,190-027,,,,23 29 25.2,+41 27 48.0,0.06758,0.00159,14.8,0.405,95,,,,,,,,,,,,,,,2329+4128 A
884,N12 And B,,,,,,,,5688.02,,190-028,,,,23 29 26.2,+41 28 20.0,0.06758,0.00159,14.8,0.405,95,,,,,,,,,,,,,,,2329+4128 B
885,N22 Aqr,,,,,,1284,,,116003,273-059,,,,23 30 13.4,-20 23 27.5,0.06757,0.00783,14.8,0.377,123.5,0.0224,-0.20813,,12.67,11.16,10.01,8.6,7.2,6.608,6.329,10.3,-5.7,,,2330-2023
886,N27 Vir,Wolf 433,,,,,480,338,2915,61706,060-024,,,,12 38 52.4,+11 41 46.2,0.06753,0.00251,14.81,1.182,258,-0.0787,-0.24487,,12.98,11.5,10.41,8.97,7.581,6.939,6.691,10.65,8,M4,,1238+1141
887,N9 Lib,,,,,,3894,392,3428.01,,151-034,,,,15 11 50.66,-10 14 17.8,0.0674,0.0031,14.84,1.005,258,,,,15.92,14.26,,,9.651,9.127,8.867,13.4,,,,1511-1014
888,N16 Peg,,,,,,4380,5411,5786.02,,129-048,,,,23 57 43.3,+19 45 36.2,0.0673,0.0127,14.86,0.499,165,,,,14.7,13.01,12.2,10.3,9.03,8.43,8.16,12.15,-6.3,,,2357+1945
889,N16 Hya,,,,175 G.,,364,,2306,47592,,CD-23 8646,84117,3862,09 42 14.4,-23 54 56.1,0.06726,0.00073,14.87,0.478,303.4,-0.0291,0.26318,,5.44,4.91,4.62,4.33,4.076,3.728,3.722,4.05,33.8,G0 V,,0942-2354
890,N1 Col,,,,,,218,1787,1334,27359,,CD-36 2458,,,05 47 40.6,-36 19 42.9,0.06724,0.00148,14.87,0.779,99.1,0.0637,-0.12316,,12.2,10.74,9.77,8.62,7.409,6.808,6.615,9.88,,M3,,0547-3619
